Date,Potencial de Hidrógeno (in situ),Conductividad Eléctrica,Temperatura de la muestra,Sólidos Suspendidos Totales,Oxígeno disuelto (en campo),Caudal,Turbiedad,Plomo total,Zinc total,Arsénico total,Cobre total,Cianuro Total,Cadmio total,Mercurio total,Potencial rédox,Hierro total,Cromo Total,Niquel total,Manganeso total,Magnesio total
2003-01-05,0.9418729817007536,0.07815850815850817,0.7081545064377682,0.014625228519195612,0.6045283018867924,1.9437258502148133e-07,0.024284077892325315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-12,0.9375672766415503,0.14522144522144523,0.721030042918455,0.0030469226081657527,0.7267924528301888,2.190947645329721e-07,0.0027147766323024057,0.0,0.0,0.0,0.0,1.191652474416711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-19,0.961248654467169,0.09634032634032634,0.7939914163090128,0.005484460694698354,0.6415094339622641,1.427570166202451e-07,0.010859106529209623,0.09665986467618946,0.04108025865348041,0.040766408479412965,0.11685116851168512,1.191652474416711e-05,0.0,0.0,0.0,0.016566666666666667,0.0,0.0,0.0,0.0
2003-01-26,0.8880516684607105,0.06694638694638694,0.6566523605150215,0.02254722730042657,0.6347169811320755,2.7396714700159034e-07,0.04719358533791524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-02,0.8891280947255114,0.0624009324009324,0.5879828326180258,0.01340645947592931,0.7056603773584905,2.832934781945479e-07,0.029324169530355097,0.0,0.0,0.0,0.0,1.191652474416711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-09,0.884822389666308,0.07170163170163171,0.5665236051502145,0.049969530773918344,0.661132075471698,2.866292453302301e-07,0.07502863688430698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-16,0.8729817007534985,0.06818181818181818,0.4763948497854077,0.13040828762949422,0.6022641509433962,2.8659963792961754e-07,0.21420389461626574,0.09665986467618946,0.051350323316850514,0.14268242967794537,0.12300123001230014,1.191652474416711e-05,0.0,0.0,0.0,0.16533333333333333,0.0,0.0,0.0,0.0
2003-02-23,0.9085037674919269,0.0966899766899767,0.6523605150214592,0.0030469226081657527,0.6724528301886793,1.0394664898394273e-07,0.003058419243986254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-02,0.8923573735199138,0.02986013986013986,0.5278969957081545,0.21998781230956735,0.6475471698113208,3.9105454729074266e-07,0.3470790378006873,0.0,0.0,0.0,0.0,1.191652474416711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-09,0.8772874058127019,0.02773892773892774,0.4721030042918455,0.21633150517976843,0.6377358490566037,5.998952820782301e-07,0.3470790378006873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
